Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
IR-03-00-00,IR-3  Incident Response Testing,CUI,03-06-03:,3.6.3  Incident Response Testing,,
IR-03-00-01,Test the effectiveness of the incident response capability for the system [Assignment: organization-defined frequency] using the following tests  [Assignment: organization-defined tests].,CUI,03-06-03.,3.6.3. Test the effectiveness of the incident response capability [Assignment: organization-defined frequency].,"Removed ODP to assign ""tests""",
IR-03-02-02,IR-3(2)  Incident Response Testing | Coordination with Related Plans,NCO, ,—,,
IR-03-02-03,Coordinate incident response testing with organizational elements responsible for related plans.,NCO, ,—,,
IR-04-00-00,IR-4  Incident Handling,CUI,03-06-01:,3.6.1  Incident Response Plan and Handling,Updated title to reflect combined controls,
IR-04-00-01,"a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;",CUI,03-06-01b.,"3.6.1b. Implement an incident-handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery.",,
IR-04-00-02,b. Coordinate incident handling activities with contingency planning activities;,NCO, ,—,,
IR-04-00-03,"c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and",NCO, ,—,,
IR-04-00-04,"d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.",NCO, ,—,,
IR-04-01-05,IR-4(1)  Incident Handling | Automated Incident Handling Processes,NCO, ,—,,
IR-04-01-06,Support the incident handling process using [Assignment: organization-defined automated mechanisms].,NCO, ,—,,
IR-05-00-00,IR-5  Incident Monitoring,CUI,03-06-02:,"3.6.2  Incident Monitoring, Reporting, and Response Assistance",Updated title to reflect combined controls,
IR-05-00-01,Track and document incidents.,CUI,03-06-02a.,3.6.2a. Track and document system security incidents.,"Added ""system security""; no change in outcome",
IR-06-00-00,IR-6  Incident Reporting,CUI,03-06-02:,"3.6.2  Incident Monitoring, Reporting, and Response Assistance",,
IR-06-00-01,a. Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and,NCO, ,—,,
IR-06-00-02,b. Report incident information to [Assignment: organization-defined authorities].,CUI,03-06-02b.,3.6.2b. Report incident information to [Assignment: organization-defined authorities].,,
IR-06-01-03,IR-6(1)  Incident Reporting | Automated Reporting,NCO, ,—,,
IR-06-01-04,Report incidents using [Assignment: organization-defined automated mechanisms].,NCO, ,—,,
IR-06-03-00,IR-6(3)  Incident Reporting | Supply Chain Coordination,NCO, ,—,,
IR-06-03-01,Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.,NCO, ,—,,
IR-07-00-00,IR-7  Incident Response Assistance,CUI,03-06-02:,"3.6.2  Incident Monitoring, Reporting, and Response Assistance",,
IR-07-00-01,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.",CUI,03-06-02c.,3.6.2c. Provide an incident response support resource that offers advice and assistance to users of the system for the handling and reporting of incidents.,Rephrased; no change in outcome,
IR-07-01-02,IR-7(1)  Incident Response Assistance | Automation Support for Availability of Information and Support,NCO, ,—,,
IR-07-01-03,Increase the availability of incident response information and support using [Assignment: organization-defined automated mechanisms].,NCO, ,—,,
IR-08-00-00,IR-8  Incident Response Plan,CUI,03-06-01:,3.6.1  Incident Response Plan and Handling,Updated title to reflect combined controls,
IR-08-00-01,a. Develop an incident response plan that:,CUI,03-06-01a.,3.6.1a. Develop an incident response plan that provides the organization with a roadmap for implementing its incident response capability.,,
IR-08-00-02,1. Provides the organization with a roadmap for implementing its incident response capability;,CUI,03-06-01a.,3.6.1a. Develop an incident response plan that provides the organization with a roadmap for implementing its incident response capability.,,
IR-08-00-03,2. Describes the structure and organization of the incident response capability;,NCO, ,—,,
IR-08-00-04,3. Provides a high-level approach for how the incident response capability fits into the overall organization;,NCO, ,—,,
IR-08-00-05,"4. Meets the unique requirements of the organization, which relate to mission, size, structure, and functions;",NCO, ,—,,
IR-08-00-06,5. Defines reportable incidents;,NCO, ,—,,
IR-08-00-07,6. Provides metrics for measuring the incident response capability within the organization;,NCO, ,—,,
IR-08-00-08,7. Defines the resources and management support needed to effectively maintain and mature an incident response capability;,NCO, ,—,,
IR-08-00-09,8. Addresses the sharing of incident information;,NCO, ,—,,
IR-08-00-10,9. Is reviewed and approved by [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]; and,NCO, ,—,,
IR-08-00-11,"10. Explicitly designates responsibility for incident response to [Assignment: organization-defined entities, personnel, or roles].",NCO, ,—,,
IR-08-00-12,b. Distribute copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];,NCO, ,—,,
IR-08-00-13,"c. Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing;",CUI,03-06-01c.,"3.6.1c. Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing.",,
IR-08-00-14,d. Communicate incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements]; and,NCO, ,—,,
IR-08-00-15,e. Protect the incident response plan from unauthorized disclosure and modification.,NCO, ,—,,
MA-01-00-00,MA-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
MA-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only maintenance policy)
Removed ODP to assign ""personnel or roles""",
MA-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] maintenance policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
MA-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
MA-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
MA-01-00-05,2. Procedures to facilitate the implementation of the maintenance policy and the associated maintenance controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only maintenance procedures),
MA-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the maintenance policy and procedures; and",NCO, ,—,,
MA-01-00-07,c. Review and update the current maintenance:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only maintenance),
MA-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
MA-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
MA-02-00-00,MA-2  Controlled Maintenance,NCO, ,—,,
MA-02-00-01,"a. Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements;",NCO, ,—,,
MA-02-00-02,"b. Approve and monitor all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location;",NCO, ,—,,
MA-02-00-03,"c. Require that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement;",NCO, ,—,,
MA-02-00-04,"d. Sanitize equipment to remove the following information from associated media prior to removal from organizational facilities for off-site maintenance, repair, or replacement  [Assignment: organization-defined information];",NCO, ,—,,
MA-02-00-05,"e. Check all potentially impacted controls to verify that the controls are still functioning properly following maintenance, repair, or replacement actions; and",NCO, ,—,,
MA-02-00-06,f. Include the following information in organizational maintenance records  [Assignment: organization-defined information].,NCO, ,—,,
MA-03-00-00,MA-3  Maintenance Tools,CUI,03-07-04:,3.7.4  Maintenance Tools,,
MA-03-00-01,"a. Approve, control, and monitor the use of system maintenance tools; and",CUI,03-07-04a.,"3.7.4a. Approve, control, and monitor the use of system maintenance tools.",,
MA-03-00-02,b. Review previously approved system maintenance tools [Assignment: organization-defined frequency].,NFO,,,,
MA-03-01-00,MA-3(1)  Maintenance Tools | Inspect Tools,CUI,03-07-04:,3.7.4  Maintenance Tools,,
MA-03-01-01,Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.,CUI,03-07-04b.,3.7.4b. Inspect maintenance tools and media containing diagnostic and test programs for malicious code before the media and tools are used in the system.,"Combined multiple control items  MA-3(1), MA-3(2)",
MA-03-02-00,MA-3(2)  Maintenance Tools | Inspect Media,CUI,03-07-04:,3.7.4  Maintenance Tools,,
MA-03-02-01,Check media containing diagnostic and test programs for malicious code before the media are used in the system.,CUI,03-07-04b.,3.7.4b. Inspect maintenance tools and media containing diagnostic and test programs for malicious code before the media and tools are used in the system.,"Combined multiple control items  MA-3(1), MA-3(2)",
MA-03-03-00,MA-3(3)  Maintenance Tools | Prevent Unauthorized Removal,CUI,03-07-04:,3.7.4  Maintenance Tools,,
MA-03-03-01,Prevent the removal of maintenance equipment containing organizational information by:,CUI,03-07-04c.,3.7.4c. Prevent the removal of maintenance equipment containing CUI by ,"Changed ""organizational information"" to ""CUI"" to address scope of SP 800-171",
MA-03-03-02,(a) Verifying that there is no organizational information contained on the equipment;,CUI,03-07-04c.1,3.7.4c.1. Verifying that there is no CUI on the equipment;,,
MA-03-03-03,(b) Sanitizing or destroying the equipment;,CUI,03-07-04c.2,3.7.4c.2. Sanitizing or destroying the equipment; or,,
MA-03-03-04,(c) Retaining the equipment within the facility; or,NCO, ,—,,
MA-03-03-05,(d) Obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility.,CUI,03-07-04c.3,3.7.4c.3. Obtaining an exemption from [Assignment: organization-defined officials] explicitly authorizing removal of the equipment from the facility.,"Changed ODP from ""personnel or roles"" to ""officials""; no change in outcome",
MA-04-00-00,MA-4  Nonlocal Maintenance,CUI,03-07-05:,3.7.5  Nonlocal Maintenance,,
MA-04-00-01,a. Approve and monitor nonlocal maintenance and diagnostic activities;,CUI,03-07-05a.,3.7.5a. Approve and monitor nonlocal maintenance and diagnostic activities.,,
MA-04-00-02,b. Allow the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the system;,NCO, ,—,,
MA-04-00-03,c. Employ strong authentication in the establishment of nonlocal maintenance and diagnostic sessions;,CUI,03-07-05b.,3.7.5b. Implement multi-factor authentication and replay resistance in the establishment of nonlocal maintenance and diagnostic sessions.,"Changed ""strong authentication"" to ""multi-factor authentication and replay resistance""",
MA-04-00-04,d. Maintain records for nonlocal maintenance and diagnostic activities; and,NCO,,—,,
MA-04-00-05,e. Terminate session and network connections when nonlocal maintenance is completed.,CUI,03-07-05c.,3.7.5c. Terminate session and network connections when nonlocal maintenance is completed.,,
MA-05-00-00,MA-5  Maintenance Personnel,CUI,03-07-06:,3.7.6  Maintenance Personnel,,
MA-05-00-01,a. Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel;,CUI,03-07-06a.,"3.7.6a. Establish a process for maintenance personnel authorization, and maintain a list of authorized maintenance organizations or personnel.",,
MA-05-00-02,b. Verify that non-escorted personnel performing maintenance on the system possess the required access authorizations; and,CUI,03-07-06b.,3.7.6b. Verify that non-escorted personnel who perform maintenance on the system possess the required access authorizations.,,
MA-05-00-03,c. Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.,CUI,03-07-06c.,3.7.6c. Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.,,
MA-06-00-00,MA-6  Timely Maintenance,NCO, ,—,,
MA-06-00-01,Obtain maintenance support and/or spare parts for [Assignment: organization-defined system components] within [Assignment: organization-defined time period] of failure.,NCO, ,—,,
MP-01-00-00,MP-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
MP-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only media protection policy)
Removed ODP to assign ""personnel or roles""",
MP-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] media protection policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
MP-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
MP-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
MP-01-00-05,2. Procedures to facilitate the implementation of the media protection policy and the associated media protection controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only media protection procedures),
MP-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the media protection policy and procedures; and",NCO, ,—,,
MP-01-00-07,c. Review and update the current media protection:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only media protection),
MP-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
MP-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
MP-02-00-00,MP-2  Media Access,CUI,03-08-02:,3.8.2  Media Access,,
MP-02-00-01,Restrict access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].,CUI,03-08-02.,3.8.2. Restrict access to CUI on digital and non-digital media to [Assignment: organization-defined personnel or roles].,"Removed ODP to assign ""types of digital and/or non-digital media""; changed to ""CUI"" to address scope of SP 800-171",
MP-03-00-00,MP-3  Media Marking,CUI,03-08-04:,3.8.4  Media Marking,,
MP-03-00-01,"a. Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and",CUI,03-08-04a.,"3.8.4a. Mark system media containing CUI indicating distribution limitations, handling caveats, and security markings.","Changed ""information"" to ""CUI"" to address scope of SP 800-171",
MP-03-00-02,b. Exempt [Assignment: organization-defined types of system media] from marking if the media remain within [Assignment: organization-defined controlled areas].,CUI,03-08-04b.,3.8.4b. Exempt [Assignment: organization-defined types of system media containing CUI] from marking if the media remain within [Assignment: organization-defined controlled areas].,"Changed ODP to ""system media containing CUI"" to address scope of SP 800-171",
MP-04-00-00,MP-4  Media Storage,CUI,03-08-01:,3.8.1  Media Storage,,
MP-04-00-01,a. Physically control and securely store [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas]; and,CUI,03-08-01.,"3.8.1. Physically control and securely store digital and non-digital media containing CUI until the media are destroyed or sanitized using approved equipment, techniques, and procedures.","Removed ODP to assign ""types of digital and/or non-digital media""; changed to ""CUI"" to address scope of SP 800-171
Removed ODP to assign ""controlled areas""
Combined multiple control items  MP-4a.; MP-4b.",
MP-04-00-02,"b. Protect system media types defined in MP-4a until the media are destroyed or sanitized using approved equipment, techniques, and procedures.",CUI,03-08-01.,"3.8.1. Physically control and securely store digital and non-digital media containing CUI until the media are destroyed or sanitized using approved equipment, techniques, and procedures.",Combined multiple control items  MP-4a.; MP-4b.,
MP-05-00-00,MP-5  Media Transport,CUI,03-08-05:,3.8.5  Media Transport,,
MP-05-00-01,a. Protect and control [Assignment: organization-defined types of system media] during transport outside of controlled areas using [Assignment: organization-defined controls];,CUI,03-08-05a.,"3.8.5a. Protect, control, and maintain accountability for system media containing CUI during transport outside of controlled areas.","Combined multiple control items  MP-5a., MP-5b.",
MP-05-00-02,b. Maintain accountability for system media during transport outside of controlled areas;,CUI,03-08-05a.,"3.8.5a. Protect, control, and maintain accountability for system media containing CUI during transport outside of controlled areas.","Combined multiple control items  MP-5a., MP-5b.",
MP-05-00-03,c. Document activities associated with the transport of system media; and,NCO, ,—,,
MP-05-00-04,d. Restrict the activities associated with the transport of system media to authorized personnel.,NCO, ,—,,
MP-06-00-00,MP-6  Media Sanitization,CUI,03-08-03:,3.8.3  Media Sanitization,,
MP-06-00-01,"a. Sanitize [Assignment: organization-defined system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures]; and",CUI,03-08-03.,"3.8.3. Sanitize system media containing CUI prior to maintenance, disposal, release out of organizational control, or release for reuse.","Removed ODP to assign ""media""; changed to ""system media containing CUI"" to address scope of SP 800-171
Removed ODP to define ""sanitization techniques and procedures""",
MP-06-00-02,b. Employ sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.,NCO, ,—,,
MP-07-00-00,MP-7  Media Use,CUI,03-08-07:,3.8.7  Media Use,,
MP-07-00-01,a. [Selection: Restrict; Prohibit] the use of [Assignment: organization-defined types of system media] on [Assignment: organization-defined systems or system components] using [Assignment: organization-defined controls]; and,CUI,03-08-07a.,3.8.7a. [Selection: Restrict; Prohibit] the use of [Assignment: organization-defined removable system media].,"Removed ODP to assign ""systems or system components""
Removed OPD to assign ""controls""",
MP-07-00-02,b. Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.,CUI,03-08-07b.,3.8.7b. Prohibit the use of portable storage devices when such devices have no identifiable owner.,,
PE-01-00-00,PE-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
PE-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only physical protection policy)
Removed ODP to assign ""personnel or roles""",
PE-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] physical and environmental protection policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
PE-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
PE-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
PE-01-00-05,2. Procedures to facilitate the implementation of the physical and environmental protection policy and the associated physical and environmental protection controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only physical protection procedures),
PE-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the physical and environmental protection policy and procedures; and",NCO, ,—,,
PE-01-00-07,c. Review and update the current physical and environmental protection ,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only physical protection),
PE-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
PE-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
PE-02-00-00,PE-2  Physical Access Authorizations,CUI,03-10-01:,3.10.1  Physical Access Authorizations,,
PE-02-00-01,"a. Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides;",CUI,03-10-01a.,"3.10.1a. Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides.",,
PE-02-00-02,b. Issue authorization credentials for facility access;,CUI,03-10-01b.,3.10.1b. Issue authorization credentials for facility access.,,
PE-02-00-03,c. Review the access list detailing authorized facility access by individuals [Assignment: organization-defined frequency]; and,CUI,03-10-01c.,3.10.1c. Review the access list detailing authorized facility access by individuals [Assignment: organization-defined frequency].,,
PE-02-00-04,d. Remove individuals from the facility access list when access is no longer required.,CUI,03-10-01d.,3.10.1d. Remove individuals from the facility access list when access is no longer required.,,
PE-03-00-00,PE-3  Physical Access Control,CUI,03-10-07:,3.10.7  Physical Access Control,,
PE-03-00-01,a. Enforce physical access authorizations at [Assignment: organization-defined entry and exit points to the facility where the system resides] by:,CUI,03-10-07a.,3.10.7a. Enforce physical access authorizations at [Assignment: organization-defined entry and exit points to the facility where the system resides] by:,,
PE-03-00-02,1. Verifying individual access authorizations before granting access to the facility; and,CUI,03-10-07a.1,3.10.7a.1. Verifying individual access authorizations before granting access to the facility; and,,
PE-03-00-03,2. Controlling ingress and egress to the facility using [Selection (one or more):  [Assignment: organization-defined physical access control systems or devices]; guards];,CUI,03-10-07a.2,3.10.7a.2. Controlling ingress and egress to the facility using [Selection (one or more): [Assignment: organization-defined physical access control systems or devices]; guards].,,
PE-03-00-04,b. Maintain physical access audit logs for [Assignment: organization-defined entry or exit points];,CUI,03-10-07b.,3.10.7b. Maintain physical access audit logs for [Assignment: organization-defined entry or exit points].,,
PE-03-00-05,c. Control access to areas within the facility designated as publicly accessible by implementing the following controls  [Assignment: organization-defined physical access controls];,NCO, ,—,,
PE-03-00-06,d. Escort visitors and control visitor activity [Assignment: organization-defined circumstances requiring visitor escorts and control of visitor activity];,CUI,03-10-07c.,3.10.7c. Escort visitors and control visitor activity [Assignment: organization-defined circumstances requiring visitor escorts and control of visitor activity].,,
PE-03-00-07,"e. Secure keys, combinations, and other physical access devices;",CUI,03-10-07d.,"3.10.7d. Secure keys, combinations, and other physical access devices.",,
PE-03-00-08,f. Inventory [Assignment: organization-defined physical access devices] every [Assignment: organization-defined frequency]; and,NCO, ,—,,
PE-03-00-09,"g. Change combinations and keys [Assignment: organization-defined frequency] and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated.",NCO, ,—,,
PE-04-00-00,PE-4  Access Control for Transmission,CUI,03-10-08:,3.10.8  Access Control for Transmission and Output Devices,,
PE-04-00-01,Control physical access to [Assignment: organization-defined system distribution and transmission lines] within organizational facilities using [Assignment: organization-defined security controls].,CUI,03-10-08a.,3.10.8a. Control physical access to system distribution and transmission lines within organizational facilities.,"Removed ODP to assign ""system distribution and transmission lines""
Removed ODP to assign ""security controls""",
PE-05-00-00,PE-5  Access Control for Output Devices,CUI,03-10-08:,3.10.8  Access Control for Transmission and Output Devices,,
PE-05-00-01,Control physical access to output from [Assignment: organization-defined output devices] to prevent unauthorized individuals from obtaining the output.,CUI,03-10-08b.,3.10.8b. Control physical access to output from [Assignment: organization-defined output devices] to prevent unauthorized individuals from obtaining the output.,,
PE-06-00-00,PE-6  Monitoring Physical Access,CUI,03-10-02:,3.10.2  Monitoring Physical Access,,
PE-06-00-01,a. Monitor physical access to the facility where the system resides to detect and respond to physical security incidents;,CUI,03-10-02a.,3.10.2a. Monitor physical access to the facility where the system resides to detect and respond to physical security incidents.,,
PE-06-00-02,b. Review physical access logs [Assignment: organization-defined frequency] and upon occurrence of [Assignment: organization-defined events or potential indications of events]; and,CUI,03-10-02b.,3.10.2b. Review physical access logs [Assignment: organization-defined frequency] and upon occurrence of [Assignment: organization-defined events or potential indications of events].,,
PE-06-00-03,c. Coordinate results of reviews and investigations with the organizational incident response capability.,CUI,03-10-02c.,3.10.2c. Coordinate the results of reviews and investigations with the organizational incident response capability.,,
PE-06-01-04,PE-6(1)  Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,NCO, ,—,,
PE-06-01-05,Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.,NCO, ,—,,
PE-08-00-00,PE-8  Visitor Access Records,NFO, ,—,,
PE-08-00-01,a. Maintain visitor access records to the facility where the system resides for [Assignment: organization-defined time period];,NFO, ,—,,
PE-08-00-02,b. Review visitor access records [Assignment: organization-defined frequency]; and,NFO, ,—,,
PE-08-00-03,c. Report anomalies in visitor access records to [Assignment: organization-defined personnel].,NFO, ,—,,
PE-09-00-00,PE-9  Power Equipment and Cabling,NCO, ,—,,
PE-09-00-01,Protect power equipment and power cabling for the system from damage and destruction.,NCO, ,—,,
PE-10-00-00,PE-10  Emergency Shutoff,NCO, ,—,,
PE-10-00-01,a. Provide the capability of shutting off power to [Assignment: organization-defined system or individual system components] in emergency situations;,NCO, ,—,,
PE-10-00-02,b. Place emergency shutoff switches or devices in [Assignment: organization-defined location by system or system component] to facilitate access for authorized personnel; and,NCO, ,—,,
PE-10-00-03,c. Protect emergency power shutoff capability from unauthorized activation.,NCO, ,—,,
PE-11-00-00,PE-11  Emergency Power,NCO, ,—,,
PE-11-00-01,Provide an uninterruptible power supply to facilitate [Selection (one or more): an orderly shutdown of the system; transition of the system to long-term alternate power] in the event of a primary power source loss.,NCO, ,—,,
PE-12-00-00,PE-12  Emergency Lighting,NCO, ,—,,
PE-12-00-01,Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.,NCO, ,—,,
PE-13-00-00,PE-13  Fire Protection,NCO, ,—,,
PE-13-00-01,Employ and maintain fire detection and suppression systems that are supported by an independent energy source.,NCO, ,—,,
PE-13-01-02,PE-13(1)  Fire Protection | Detection Systems – Automatic Activation and Notification,NCO, ,—,,
PE-13-01-03,Employ fire detection systems that activate automatically and notify [Assignment: organization-defined personnel or roles] and [Assignment: organization-defined emergency responders] in the event of a fire.,NCO, ,—,,
PE-14-00-00,PE-14  Environmental Controls,NCO, ,—,,
PE-14-00-01, [Assignment: organization-defined environmental control]] levels within the facility where the system resides at [Assignment: organization-defined acceptable levels]; and,NCO, ,—,,
PE-14-00-02,b. Monitor environmental control levels [Assignment: organization-defined frequency].,NCO, ,—,,
PE-15-00-00,PE-15  Water Damage Protection,NCO, ,—,,
PE-15-00-01,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",NCO, ,—,,
PE-16-00-00,PE-16  Delivery and Removal,NFO, ,—,,
PE-16-00-01,a. Authorize and control [Assignment: organization-defined types of system components] entering and exiting the facility; and,NFO, ,—,,
PE-16-00-02,b. Maintain records of the system components.,NFO, ,—,,
PE-17-00-00,PE-17  Alternate Work Site,CUI,03-10-06:,3.10.6  Alternate Work Site,,
PE-17-00-01,a. Determine and document the [Assignment: organization-defined alternate work sites] allowed for use by employees;,CUI,03-10-06a.,3.10.6a. Determine and document alternate work sites allowed for use by employees.,"Removed ODP to assign ""alternate work sites""",
PE-17-00-02,b. Employ the following controls at alternate work sites  [Assignment: organization-defined controls];,CUI,03-10-06b.,3.10.6b. Employ the following controls at alternate work sites  [Assignment: organization-defined controls].,,
PE-17-00-03,c. Assess the effectiveness of controls at alternate work sites; and,NFO, ,—,,
PE-17-00-04,d. Provide a means for employees to communicate with information security and privacy personnel in case of incidents.,NCO, ,—,,
PL-01-00-00,PL-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
PL-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only planning policy)
Removed ODP to assign ""personnel or roles""",
